student_id,name,career_goal,internships_done,job_ready,suggested_paths
1099,Meera S 2,Systems Engineer,"2 (NLP, Vision)",No,"Practice DSA, GitHub proj, Contribute to open source"
1100,Karan T 2,Cybersecurity Analyst,"2 (Research, Dev)",No,"Core project, mock interviews, Attend tech webinars"
1101,Sneha T 2,Web Developer,"2 (NLP, Vision)",No,"LinkedIn optimization, Core project, mock interviews"
1102,Meera S 3,Software Developer,"2 (NLP, Vision)",No,"LinkedIn optimization, Build capstone projects"
1103,Rahul T 5,Product Designer,1 (AR Intern),Yes,"Certifications in relevant domain, Apply to research roles"
1104,Sneha R 3,AR/VR Developer,1 (Web Dev Intern),Yes,"Contribute to open source, Resume upgrade, hackathons"
1105,Divya T 2,DevOps Specialist,"2 (NLP, Vision)",Yes,"Apply to research roles, Attend tech webinars"
1106,Priya S 5,Embedded Engineer,1 (Security Intern),Yes,"Apply to research roles, Attend tech webinars"
1107,Priya M 2,Web Developer,1 (IoT Internship),Yes,"Core project, mock interviews, Build capstone projects"
1108,Aisha T,Product Designer,"2 (DevOps, Cloud)",Yes,"Certifications in relevant domain, Resume upgrade, hackathons"
1109,Ankit K 3,AI Researcher,"2 (NLP, Vision)",Yes,"Certifications in relevant domain, Resume upgrade, hackathons"
1110,Karan S 5,ML Engineer,1 (IoT Internship),Yes,"Portfolio enhancement, Core project, mock interviews"
1111,Divya K 3,Cloud Engineer,1 (AR Intern),Yes,"Practice DSA, GitHub proj, LinkedIn optimization"
1112,Arjun R 3,Product Designer,1 (Security Intern),Yes,"Practice DSA, GitHub proj, Resume upgrade, hackathons"
1113,Arjun K 4,AI Researcher,1 (CAD Internship),Yes,"Core project, mock interviews, Practice DSA, GitHub proj"
1114,Ankit R 7,Product Designer,None,No,"Apply to research roles, Resume upgrade, hackathons"
1115,Aisha R 2,Cybersecurity Analyst,"2 (DevOps, Cloud)",Yes,"Attend tech webinars, Certifications in relevant domain"
1116,Karan K 5,AR/VR Developer,"2 (DevOps, Cloud)",No,"Apply to research roles, LinkedIn optimization"
1117,Ankit S 4,AI Researcher,1 (ML Intern),Yes,"Portfolio enhancement, LinkedIn optimization"
1118,Priya R 3,Product Designer,1 (Security Intern),Yes,"LinkedIn optimization, Practice DSA, GitHub proj"
1119,Arjun M 3,Web Developer,1 (Security Intern),Yes,"Certifications in relevant domain, Practice DSA, GitHub proj"
1120,Divya T 3,Embedded Engineer,1 (ML Intern),Yes,"Portfolio enhancement, Certifications in relevant domain"
1121,Ankit S 5,ML Engineer,"2 (DevOps, Cloud)",Yes,"Attend tech webinars, Certifications in relevant domain"
1122,Meera M 2,DevOps Specialist,1 (ML Intern),Yes,"Apply to research roles, LinkedIn optimization"
1123,Priya T 4,Data Scientist,"2 (DevOps, Cloud)",Yes,"Apply to research roles, Resume upgrade, hackathons"
1124,Sneha R 4,Software Developer,1 (AR Intern),Yes,"Certifications in relevant domain, Portfolio enhancement"
1125,Arjun T 5,AR/VR Developer,None,No,"Certifications in relevant domain, LinkedIn optimization"
1126,Meera R 4,Cloud Engineer,1 (Security Intern),Yes,"LinkedIn optimization, Practice DSA, GitHub proj"
1127,Karan K 6,Cybersecurity Analyst,"2 (NLP, Vision)",Yes,"Practice DSA, GitHub proj, LinkedIn optimization"
1128,Karan K 7,Cloud Engineer,"2 (DevOps, Cloud)",Yes,"Build capstone projects, LinkedIn optimization"
1129,Meera S 4,AI Researcher,1 (IoT Internship),No,"Apply to research roles, Attend tech webinars"
1130,Arjun T 6,AI Researcher,1 (AR Intern),Yes,"Contribute to open source, Apply to research roles"
1131,Ankit R 8,Embedded Engineer,"2 (DevOps, Cloud)",Yes,"Portfolio enhancement, Core project, mock interviews"
1132,Divya M 2,Product Designer,1 (Web Dev Intern),Yes,"Portfolio enhancement, Apply to research roles"
1133,Priya R 4,Web Developer,1 (ML Intern),Yes,"Practice DSA, GitHub proj, Portfolio enhancement"
1134,Priya T 5,Web Developer,1 (AR Intern),Yes,"Certifications in relevant domain, Apply to research roles"
1135,Divya M 3,Web Developer,1 (AR Intern),Yes,"Portfolio enhancement, Resume upgrade, hackathons"
1136,Priya M 3,ML Engineer,1 (IoT Internship),Yes,"Certifications in relevant domain, Resume upgrade, hackathons"
1137,Meera T 3,Software Developer,1 (IoT Internship),No,"Core project, mock interviews, Resume upgrade, hackathons"
1138,Sneha K 3,AR/VR Developer,None,No,"Resume upgrade, hackathons, Build capstone projects"
1139,Karan M 5,Data Scientist,1 (CAD Internship),Yes,"Core project, mock interviews, Practice DSA, GitHub proj"
1140,Arjun S,Web Developer,1 (IoT Internship),Yes,"Portfolio enhancement, Certifications in relevant domain"
1141,Karan M 6,AI Researcher,1 (Web Dev Intern),Yes,"Attend tech webinars, Practice DSA, GitHub proj"
1142,Rahul K 4,ML Engineer,"2 (Research, Dev)",Yes,"Attend tech webinars, Build capstone projects"
1143,Priya M 4,Product Designer,1 (Web Dev Intern),Yes,"Portfolio enhancement, Practice DSA, GitHub proj"
1144,Rahul T 6,Data Scientist,1 (Security Intern),Yes,"Contribute to open source, Practice DSA, GitHub proj"
1145,Priya K 3,Product Designer,None,No,"Certifications in relevant domain, Build capstone projects"
1146,Sneha M 2,AI Researcher,"2 (DevOps, Cloud)",No,"Contribute to open source, Portfolio enhancement"
1147,Ankit T 3,Embedded Engineer,1 (IoT Internship),Yes,"LinkedIn optimization, Practice DSA, GitHub proj"
1148,Rahul R,Data Scientist,1 (IoT Internship),No,"Resume upgrade, hackathons, Attend tech webinars"
1149,Arjun S 2,Cloud Engineer,"2 (DevOps, Cloud)",Yes,"Core project, mock interviews, LinkedIn optimization"
1150,Meera S 5,DevOps Specialist,1 (IoT Internship),Yes,"Build capstone projects, Core project, mock interviews"
1151,Aisha K 3,Systems Engineer,"2 (Research, Dev)",Yes,"Resume upgrade, hackathons, Core project, mock interviews"
1152,Sneha T 3,DevOps Specialist,1 (AR Intern),Yes,"Resume upgrade, hackathons, Contribute to open source"
1153,Ankit R 9,Cloud Engineer,1 (IoT Internship),Yes,"Certifications in relevant domain, Attend tech webinars"
1154,Divya M 4,AI Researcher,1 (CAD Internship),No,"Resume upgrade, hackathons, Practice DSA, GitHub proj"
1155,Sneha S 3,Cloud Engineer,1 (CAD Internship),Yes,"LinkedIn optimization, Practice DSA, GitHub proj"
1156,Ankit K 4,Software Developer,"2 (Research, Dev)",Yes,"Portfolio enhancement, Build capstone projects"
1157,Arjun K 5,Data Scientist,1 (AR Intern),Yes,"Contribute to open source, Core project, mock interviews"
1158,Arjun S 3,Data Scientist,1 (Web Dev Intern),Yes,"Portfolio enhancement, Build capstone projects"
1159,Priya R 5,Web Developer,"2 (Research, Dev)",Yes,"Attend tech webinars, Apply to research roles"
1160,Karan K 8,Software Developer,1 (Security Intern),Yes,"Contribute to open source, Resume upgrade, hackathons"
1161,Ankit M 2,AI Researcher,1 (CAD Internship),No,"Practice DSA, GitHub proj, Contribute to open source"
1162,Aisha T 2,ML Engineer,1 (IoT Internship),Yes,"Certifications in relevant domain, Practice DSA, GitHub proj"
1163,Arjun T 7,Product Designer,1 (IoT Internship),Yes,"Certifications in relevant domain, Contribute to open source"
1164,Divya M 5,Data Scientist,1 (AR Intern),Yes,"Certifications in relevant domain, Resume upgrade, hackathons"
1165,Sneha R 5,ML Engineer,1 (ML Intern),Yes,"LinkedIn optimization, Core project, mock interviews"
1166,Karan T 3,Cloud Engineer,"2 (NLP, Vision)",Yes,"Portfolio enhancement, Contribute to open source"
1167,Sneha R 6,Cloud Engineer,None,No,"Contribute to open source, Portfolio enhancement"
1168,Meera R 5,Product Designer,"2 (DevOps, Cloud)",No,"Core project, mock interviews, Certifications in relevant domain"
1169,Arjun K 6,Software Developer,1 (Web Dev Intern),Yes,"Resume upgrade, hackathons, Attend tech webinars"
1170,Divya T 4,Cloud Engineer,1 (CAD Internship),Yes,"Build capstone projects, Core project, mock interviews"
1171,Arjun K 7,Cybersecurity Analyst,1 (CAD Internship),No,"Build capstone projects, Core project, mock interviews"
1172,Rahul S 4,DevOps Specialist,"2 (DevOps, Cloud)",No,"Certifications in relevant domain, Resume upgrade, hackathons"
1173,Aisha R 3,Product Designer,"2 (DevOps, Cloud)",Yes,"Certifications in relevant domain, Core project, mock interviews"
1174,Arjun S 4,Data Scientist,1 (CAD Internship),No,"LinkedIn optimization, Apply to research roles"
1175,Ankit T 4,Systems Engineer,"2 (NLP, Vision)",No,"LinkedIn optimization, Attend tech webinars"
1176,Karan S 6,Cloud Engineer,1 (AR Intern),Yes,"Attend tech webinars, Apply to research roles"
1177,Arjun R 4,Cybersecurity Analyst,1 (CAD Internship),Yes,"Apply to research roles, LinkedIn optimization"
1178,Meera K,Software Developer,1 (AR Intern),Yes,"Portfolio enhancement, Attend tech webinars"
1179,Rahul M 5,DevOps Specialist,"2 (DevOps, Cloud)",No,"Build capstone projects, Contribute to open source"
1180,Rahul S 5,Web Developer,1 (CAD Internship),Yes,"Portfolio enhancement, Certifications in relevant domain"
1181,Ravi K 4,ML Engineer,1 (Web Dev Intern),Yes,"Build capstone projects, LinkedIn optimization"
1182,Meera T 4,Systems Engineer,1 (CAD Internship),Yes,"Practice DSA, GitHub proj, Core project, mock interviews"
1183,Priya R 6,Software Developer,"2 (DevOps, Cloud)",Yes,"Build capstone projects, Apply to research roles"
1184,Aisha K 4,Systems Engineer,None,No,"Certifications in relevant domain, Core project, mock interviews"
1185,Rahul M 6,Data Scientist,"2 (NLP, Vision)",Yes,"Contribute to open source, Apply to research roles"
1186,Arjun R 5,ML Engineer,None,No,"Build capstone projects, Resume upgrade, hackathons"
1187,Divya M 6,Systems Engineer,1 (CAD Internship),No,"Contribute to open source, Portfolio enhancement"
1188,Rahul K 5,Cloud Engineer,"2 (DevOps, Cloud)",Yes,"Practice DSA, GitHub proj, LinkedIn optimization"
1189,Sneha S 4,Web Developer,"2 (NLP, Vision)",Yes,"Attend tech webinars, Portfolio enhancement"
1190,Ravi R 4,AI Researcher,"2 (Research, Dev)",Yes,"Core project, mock interviews, Portfolio enhancement"
1191,Ravi K 5,Web Developer,"2 (NLP, Vision)",No,"Build capstone projects, Apply to research roles"
1192,Priya R 7,Web Developer,"2 (NLP, Vision)",Yes,"Core project, mock interviews, Resume upgrade, hackathons"
1193,Karan S 7,Embedded Engineer,1 (IoT Internship),Yes,"Resume upgrade, hackathons, Build capstone projects"
1194,Priya S 6,Web Developer,None,No,"Core project, mock interviews, Practice DSA, GitHub proj"
1195,Karan S 8,AI Researcher,"2 (DevOps, Cloud)",No,"Contribute to open source, LinkedIn optimization"
1196,Divya M 7,AR/VR Developer,1 (Security Intern),Yes,"Practice DSA, GitHub proj, Resume upgrade, hackathons"
1197,Priya K 4,Cloud Engineer,"2 (Research, Dev)",Yes,"Attend tech webinars, Core project, mock interviews"
1198,Ankit M 3,Cybersecurity Analyst,1 (CAD Internship),Yes,"Core project, mock interviews, Portfolio enhancement"
1199,Rahul M 7,Web Developer,"2 (NLP, Vision)",Yes,"Apply to research roles, Certifications in relevant domain"
1200,Sneha M 3,Cloud Engineer,1 (AR Intern),Yes,"Portfolio enhancement, Core project, mock interviews"
1201,Sneha T 4,Cybersecurity Analyst,1 (AR Intern),Yes,"Practice DSA, GitHub proj, Portfolio enhancement"
1202,Meera R 6,AR/VR Developer,1 (Web Dev Intern),Yes,"Attend tech webinars, Certifications in relevant domain"
1203,Meera M 3,AR/VR Developer,1 (Security Intern),No,"Certifications in relevant domain, Practice DSA, GitHub proj"
1204,Divya M 8,Embedded Engineer,"2 (NLP, Vision)",Yes,"Contribute to open source, Practice DSA, GitHub proj"
1205,Meera K 2,Product Designer,1 (CAD Internship),No,"Resume upgrade, hackathons, Build capstone projects"
1206,Rahul M 8,ML Engineer,1 (Web Dev Intern),Yes,"Apply to research roles, Build capstone projects"
1207,Priya T 6,Embedded Engineer,1 (Web Dev Intern),Yes,"Core project, mock interviews, Portfolio enhancement"
1208,Rahul R 2,AR/VR Developer,"2 (NLP, Vision)",No,"Portfolio enhancement, Apply to research roles"
1209,Ravi R 5,Cloud Engineer,1 (IoT Internship),Yes,"Practice DSA, GitHub proj, Build capstone projects"
1210,Rahul R 3,Embedded Engineer,"2 (Research, Dev)",No,"Resume upgrade, hackathons, Contribute to open source"
1211,Aisha R 4,Embedded Engineer,1 (Security Intern),Yes,"Apply to research roles, Portfolio enhancement"
1212,Aisha K 5,Software Developer,1 (Security Intern),Yes,"Build capstone projects, Resume upgrade, hackathons"
1213,Divya S 2,DevOps Specialist,1 (Web Dev Intern),Yes,"Build capstone projects, Practice DSA, GitHub proj"
1214,Priya T 7,Product Designer,"2 (DevOps, Cloud)",Yes,"Attend tech webinars, Portfolio enhancement"
1215,Ravi K 6,Data Scientist,1 (IoT Internship),Yes,"Portfolio enhancement, Build capstone projects"
1216,Ravi S 3,Embedded Engineer,"2 (Research, Dev)",No,"Attend tech webinars, LinkedIn optimization"
1217,Priya S 7,Embedded Engineer,1 (Web Dev Intern),Yes,"Contribute to open source, LinkedIn optimization"
1218,Meera S 6,Embedded Engineer,1 (Security Intern),Yes,"Resume upgrade, hackathons, Practice DSA, GitHub proj"
1219,Karan R,AI Researcher,1 (CAD Internship),Yes,"Certifications in relevant domain, Core project, mock interviews"
1220,Ankit T 5,Embedded Engineer,1 (CAD Internship),Yes,"Practice DSA, GitHub proj, LinkedIn optimization"
1221,Karan K 9,Web Developer,1 (ML Intern),No,"Contribute to open source, Practice DSA, GitHub proj"
1222,Ravi M 2,DevOps Specialist,1 (IoT Internship),Yes,"Practice DSA, GitHub proj, Attend tech webinars"
1223,Sneha T 5,Cloud Engineer,1 (ML Intern),No,"Contribute to open source, Practice DSA, GitHub proj"
1224,Priya T 8,Data Scientist,1 (Web Dev Intern),Yes,"LinkedIn optimization, Practice DSA, GitHub proj"
1225,Rahul R 4,Cloud Engineer,"2 (Research, Dev)",No,"Apply to research roles, Contribute to open source"
1226,Priya R 8,Cybersecurity Analyst,None,No,"Portfolio enhancement, Build capstone projects"
1227,Ravi M 3,AI Researcher,1 (Security Intern),No,"Resume upgrade, hackathons, LinkedIn optimization"
1228,Rahul S 6,Cybersecurity Analyst,"2 (NLP, Vision)",Yes,"Practice DSA, GitHub proj, LinkedIn optimization"
1229,Sneha R 7,DevOps Specialist,1 (CAD Internship),No,"Core project, mock interviews, Contribute to open source"
1230,Ravi M 4,DevOps Specialist,1 (CAD Internship),Yes,"LinkedIn optimization, Practice DSA, GitHub proj"
1231,Meera S 7,Embedded Engineer,1 (CAD Internship),Yes,"Attend tech webinars, Build capstone projects"
1232,Sneha M 4,DevOps Specialist,1 (Security Intern),Yes,"Contribute to open source, Build capstone projects"
1233,Meera K 3,DevOps Specialist,"2 (Research, Dev)",No,"Contribute to open source, Core project, mock interviews"
1234,Meera T 5,Cybersecurity Analyst,1 (Security Intern),Yes,"Certifications in relevant domain, LinkedIn optimization"
1235,Divya S 3,AR/VR Developer,1 (CAD Internship),No,"Practice DSA, GitHub proj, Portfolio enhancement"
1236,Aisha K 6,DevOps Specialist,1 (Security Intern),No,"Portfolio enhancement, Attend tech webinars"
1237,Sneha S 5,Web Developer,"2 (NLP, Vision)",No,"Resume upgrade, hackathons, Build capstone projects"
1238,Divya S 4,ML Engineer,"2 (DevOps, Cloud)",No,"Resume upgrade, hackathons, Attend tech webinars"
1239,Ravi K 7,Web Developer,1 (AR Intern),Yes,"Apply to research roles, Contribute to open source"
1240,Arjun T 8,AI Researcher,1 (Security Intern),Yes,"Apply to research roles, LinkedIn optimization"
1241,Ankit M 4,Embedded Engineer,1 (AR Intern),Yes,"Core project, mock interviews, Practice DSA, GitHub proj"
1242,Aisha K 7,Embedded Engineer,1 (Web Dev Intern),No,"Contribute to open source, Apply to research roles"
1243,Priya K 5,Data Scientist,1 (ML Intern),No,"Resume upgrade, hackathons, Portfolio enhancement"
1244,Karan T 4,Cloud Engineer,"2 (DevOps, Cloud)",No,"Contribute to open source, Portfolio enhancement"
1245,Priya S 8,Data Scientist,"2 (Research, Dev)",Yes,"Apply to research roles, Certifications in relevant domain"
1246,Aisha K 8,ML Engineer,1 (Web Dev Intern),No,"Attend tech webinars, Certifications in relevant domain"
1247,Divya K 4,Cloud Engineer,1 (Web Dev Intern),Yes,"Contribute to open source, Apply to research roles"
1248,Priya S 9,Embedded Engineer,1 (ML Intern),Yes,"Contribute to open source, Build capstone projects"
1249,Ankit R 10,Data Scientist,1 (Web Dev Intern),No,"Core project, mock interviews, Attend tech webinars"
1250,Divya K 5,Data Scientist,1 (AR Intern),Yes,"Apply to research roles, Portfolio enhancement"
1251,Ankit S 6,Cybersecurity Analyst,"2 (Research, Dev)",Yes,"Build capstone projects, Practice DSA, GitHub proj"
1252,Rahul M 9,Software Developer,"2 (Research, Dev)",Yes,"Portfolio enhancement, Practice DSA, GitHub proj"
1253,Rahul R 5,Web Developer,"2 (NLP, Vision)",Yes,"Build capstone projects, LinkedIn optimization"
1254,Arjun S 5,ML Engineer,"2 (DevOps, Cloud)",Yes,"Practice DSA, GitHub proj, Certifications in relevant domain"
1255,Ravi T,Systems Engineer,1 (ML Intern),Yes,"Practice DSA, GitHub proj, Portfolio enhancement"
1256,Sneha S 6,Embedded Engineer,None,No,"LinkedIn optimization, Resume upgrade, hackathons"
