student_id,name,weak_subjects,strengths,recommended_actions,recent_progress
1166,Karan T 3,"Dynamics, Power Systems","Surveying, Thermo",Revise theoretical concepts,Needs attention
1167,Sneha R 6,EM Theory,"Concrete Tech, Signal Systems",Attend workshops,Declining
1168,Meera R 5,"Java, Networking","Fluid Mech, Stats",Take mock tests,Declining
1169,Arjun K 6,Java,"Dynamics, Math",Join peer study groups,Needs attention
1170,Divya T 4,EM Theory,"Thermo, OS",Improve time management,Stable
1171,Arjun K 7,"RL, EM Theory","EM Theory, DSA",Revise theoretical concepts,Improving
1172,Rahul S 4,Stats,"Security, OS",Use online resources,Needs attention
1173,Aisha R 3,RL,"Power Systems, DBMS",Attend workshops,Improving
1174,Arjun S 4,"DSA, Machines","Fluid Mech, Machines",Simulate real problems,Stable
1175,Ankit T 4,AI,"Concrete Tech, OS",Simulate real problems,Declining
1176,Karan S 6,"Machines, DL","NLP, Signal Systems",Improve time management,Improving
1177,Arjun R 4,"Embedded, Structural","Security, Embedded",Improve time management,Declining
1178,Meera K,"Networking, Data Mining","CAD, Thermo",Practice regularly,Needs attention
1179,Rahul M 5,"RL, Fluid Mech","Circuits, DBMS",Simulate real problems,Stable
1180,Rahul S 5,Signal Systems,"Java, Structural",Focus on weak topics,Declining
1181,Ravi K 4,Mechatronics,"Embedded, Surveying",Attend tutoring sessions,Improving
1182,Meera T 4,Fluid Mech,"Surveying, Mechatronics",Simulate real problems,Stable
1183,Priya R 6,AI,"ML, EM Theory",Improve time management,Needs attention
1184,Aisha K 4,"AI, Stats","Web Dev, Digital Logic",Simulate real problems,Needs attention
1185,Rahul M 6,CAD,"EM Theory, Math",Revise theoretical concepts,Improving
1186,Arjun R 5,"Surveying, Stats","Digital Logic, Mechatronics",Join peer study groups,Declining
1187,Divya M 6,"Java, Web Dev","Data Mining, DBMS",Improve time management,Improving
1188,Rahul K 5,Stats,"Networking, DBMS",Focus on weak topics,Improving
1189,Sneha S 4,"ML, VLSI","EM Theory, Signal Systems",Practice regularly,Stable
1190,Ravi R 4,DSA,"Fluid Mech, Java",Simulate real problems,Improving
1191,Ravi K 5,"CAD, Java","Java, CN",Simulate real problems,Improving
1192,Priya R 7,"NLP, Fluid Mech","Fluid Mech, CAD",Revise theoretical concepts,Stable
1193,Karan S 7,"Digital Logic, VLSI","Concrete Tech, Signal Systems",Take mock tests,Declining
1194,Priya S 6,"Signal Systems, Mechatronics","DSA, OS",Simulate real problems,Needs attention
1195,Karan S 8,Python,"RL, Signal Systems",Take mock tests,Declining
1196,Divya M 7,OS,"Geotech, Networking",Focus on weak topics,Improving
1197,Priya K 4,Networking,"Web Dev, EM Theory",Use online resources,Improving
1198,Ankit M 3,Machines,"VLSI, Power Systems",Improve time management,Declining
1199,Rahul M 7,Fluid Mech,"Concrete Tech, ML",Take mock tests,Needs attention
1200,Sneha M 3,"Thermo, ML","Structural, Dynamics",Attend workshops,Needs attention
1201,Sneha T 4,"Digital Logic, DSA","Data Mining, Dynamics",Simulate real problems,Declining
1202,Meera R 6,"Fluid Mech, Machines","Fluid Mech, Java",Attend tutoring sessions,Stable
1203,Meera M 3,Machines,"Signal Systems, Embedded",Use online resources,Needs attention
1204,Divya M 8,Structural,"Math, RL",Attend workshops,Declining
1205,Meera K 2,"Geotech, Power Systems","Structural, ML",Revise theoretical concepts,Declining
1206,Rahul M 8,Security,"RL, EM Theory",Use online resources,Needs attention
1207,Priya T 6,Math,"Machines, Structural",Revise theoretical concepts,Stable
1208,Rahul R 2,"VLSI, Structural","CAD, Circuits",Take mock tests,Declining
1209,Ravi R 5,Surveying,"Dynamics, Mechatronics",Attend tutoring sessions,Improving
1210,Rahul R 3,DSA,"Python, Circuits",Attend tutoring sessions,Stable
1211,Aisha R 4,"DBMS, Networking","Thermo, EM Theory",Focus on weak topics,Stable
1212,Aisha K 5,"RL, Concrete Tech","Embedded, Python",Join peer study groups,Declining
1213,Divya S 2,"Dynamics, DSA","Geotech, NLP",Join peer study groups,Needs attention
1214,Priya T 7,"VLSI, Control","DSA, Python",Take mock tests,Needs attention
1215,Ravi K 6,"Machines, AI","Machines, DBMS",Join peer study groups,Stable
1216,Ravi S 3,"RL, Stats","ML, Digital Logic",Focus on weak topics,Declining
1217,Priya S 7,"Surveying, Control","Machines, Data Mining",Use online resources,Needs attention
1218,Meera S 6,Thermo,"NLP, Math",Focus on weak topics,Improving
1219,Karan R,Structural,"Circuits, Machines",Simulate real problems,Needs attention
1220,Ankit T 5,"Control, ML","Embedded, Structural",Simulate real problems,Stable
1221,Karan K 9,"DBMS, ML","Surveying, Stats",Simulate real problems,Improving
1222,Ravi M 2,"OS, ML","EM Theory, Math",Simulate real problems,Stable
1223,Sneha T 5,"Networking, RL","Dynamics, Security",Focus on weak topics,Declining
1224,Priya T 8,"Circuits, Thermo","Machines, Digital Logic",Use online resources,Declining
1225,Rahul R 4,"Dynamics, Data Mining","Python, Signal Systems",Simulate real problems,Improving
1226,Priya R 8,Structural,"Surveying, Concrete Tech",Attend tutoring sessions,Declining
1227,Ravi M 3,AI,"Security, Dynamics",Take mock tests,Declining
1228,Rahul S 6,"DBMS, Dynamics","Structural, EM Theory",Attend workshops,Improving
1229,Sneha R 7,"Thermo, VLSI","AI, OS",Use online resources,Stable
1230,Ravi M 4,"VLSI, DL","Data Mining, DL",Attend workshops,Stable
1231,Meera S 7,"EM Theory, Web Dev","Data Mining, CN",Simulate real problems,Stable
1232,Sneha M 4,RL,"Fluid Mech, Math",Attend tutoring sessions,Declining
1233,Meera K 3,"Security, Fluid Mech","EM Theory, DSA",Attend workshops,Needs attention
1234,Meera T 5,Thermo,"Security, VLSI",Improve time management,Stable
1235,Divya S 3,"Concrete Tech, NLP","CAD, VLSI",Practice regularly,Declining
1236,Aisha K 6,"AI, Surveying","VLSI, Java",Attend tutoring sessions,Improving
1237,Sneha S 5,"OS, Surveying","Data Mining, RL",Practice regularly,Needs attention
1238,Divya S 4,CAD,"NLP, Security",Take mock tests,Improving
1239,Ravi K 7,"Dynamics, Power Systems","Thermo, Fluid Mech",Improve time management,Stable
1240,Arjun T 8,Thermo,"Thermo, NLP",Attend workshops,Declining
1241,Ankit M 4,Data Mining,"DBMS, Math",Practice regularly,Stable
1242,Aisha K 7,"AI, Embedded","Structural, Surveying",Attend workshops,Improving
1243,Priya K 5,"Python, Dynamics","CN, VLSI",Revise theoretical concepts,Stable
1244,Karan T 4,Fluid Mech,"Security, AI",Attend tutoring sessions,Declining
1245,Priya S 8,Data Mining,"Digital Logic, EM Theory",Focus on weak topics,Needs attention
1246,Aisha K 8,Embedded,"Surveying, VLSI",Revise theoretical concepts,Declining
1247,Divya K 4,CAD,"AI, Circuits",Use online resources,Declining
1248,Priya S 9,Stats,"Security, Thermo",Use online resources,Declining
1249,Ankit R 10,"AI, EM Theory","Concrete Tech, Thermo",Join peer study groups,Stable
1250,Divya K 5,Dynamics,"CN, Fluid Mech",Attend tutoring sessions,Stable
1251,Ankit S 6,"Math, Data Mining","OS, Mechatronics",Focus on weak topics,Stable
1252,Rahul M 9,"DSA, Structural","Web Dev, VLSI",Simulate real problems,Improving
1253,Rahul R 5,OS,"Security, Thermo",Revise theoretical concepts,Stable
1254,Arjun S 5,"VLSI, DL","Concrete Tech, Surveying",Improve time management,Stable
1255,Ravi T,"Concrete Tech, Circuits","Thermo, Networking",Join peer study groups,Declining
1256,Sneha S 6,Data Mining,"Machines, DL",Practice regularly,Needs attention
1257,Priya R 9,"Digital Logic, DBMS","Geotech, DL",Practice regularly,Stable
1258,Priya K 6,"Web Dev, Stats","RL, Mechatronics",Revise theoretical concepts,Stable
1259,Aisha M 2,"Surveying, Mechatronics","Structural, Control",Join peer study groups,Stable
1260,Rahul S 7,"Surveying, Structural","Signal Systems, ML",Join peer study groups,Needs attention
1261,Karan M 7,"Dynamics, NLP","Circuits, Data Mining",Use online resources,Improving
1262,Ravi T 2,"Java, Dynamics","DL, Data Mining",Improve time management,Needs attention
1263,Ravi K 8,"CAD, NLP","Digital Logic, Signal Systems",Focus on weak topics,Declining
1264,Arjun S 6,Web Dev,"EM Theory, Power Systems",Simulate real problems,Stable
1265,Sneha M 5,Thermo,"Thermo, Dynamics",Take mock tests,Stable
1266,Rahul M 10,Geotech,"Control, DSA",Revise theoretical concepts,Needs attention
1267,Rahul T 7,Surveying,"Dynamics, DL",Practice regularly,Stable
1268,Priya R 10,RL,"Surveying, Java",Revise theoretical concepts,Stable
1269,Karan S 9,"Security, Data Mining","Structural, Thermo",Focus on weak topics,Needs attention
1270,Sneha R 8,Security,"Python, Security",Join peer study groups,Needs attention
1271,Ankit S 7,"AI, ML","Surveying, Security",Focus on weak topics,Improving
1272,Ravi R 6,"CN, Mechatronics","Data Mining, NLP",Take mock tests,Stable
1273,Ankit R 11,Mechatronics,"Data Mining, ML",Use online resources,Declining
1274,Aisha R 5,Security,"AI, Fluid Mech",Take mock tests,Stable
1275,Aisha M 3,"DSA, Control","CN, ML",Practice regularly,Needs attention
1276,Meera S 8,Digital Logic,"Concrete Tech, Signal Systems",Use online resources,Declining
1277,Divya T 5,Concrete Tech,"Web Dev, Thermo",Join peer study groups,Declining
1278,Meera M 4,ML,"Security, Concrete Tech",Use online resources,Improving
1279,Divya S 5,"Fluid Mech, Stats","Thermo, Python",Simulate real problems,Stable
1280,Rahul M 11,Embedded,"DSA, Thermo",Attend workshops,Declining
1281,Sneha R 9,Concrete Tech,"Mechatronics, Math",Simulate real problems,Improving
1282,Rahul M 12,Geotech,"Digital Logic, NLP",Join peer study groups,Declining
1283,Ankit M 5,"AI, Fluid Mech","VLSI, Surveying",Improve time management,Needs attention
1284,Aisha M 4,Machines,"Surveying, Fluid Mech",Take mock tests,Improving
1285,Arjun T 9,"DL, Machines","OS, Data Mining",Use online resources,Improving
1286,Arjun T 10,Fluid Mech,"Geotech, DBMS",Join peer study groups,Stable
1287,Ravi S 4,"Concrete Tech, OS","RL, DSA",Join peer study groups,Declining
1288,Sneha R 10,NLP,"ML, Power Systems",Revise theoretical concepts,Improving
1289,Rahul R 6,RL,"EM Theory, CAD",Use online resources,Needs attention
1290,Aisha S,"DBMS, Circuits","Thermo, Surveying",Practice regularly,Needs attention
1291,Ankit M 6,Java,"Power Systems, Python",Take mock tests,Stable
1292,Divya R 2,"EM Theory, Java","Stats, Circuits",Join peer study groups,Stable
1293,Priya T 9,"Mechatronics, Java","Circuits, Networking",Focus on weak topics,Needs attention
1294,Divya R 3,Circuits,"Structural, Python",Attend workshops,Stable
1295,Divya T 6,"Data Mining, DL","DSA, Stats",Take mock tests,Needs attention
1296,Karan R 2,EM Theory,"ML, Web Dev",Attend tutoring sessions,Improving
1297,Meera M 5,"Data Mining, Surveying","Control, DL",Revise theoretical concepts,Improving
1298,Divya M 9,Control,"Python, VLSI",Improve time management,Stable
1299,Ravi M 5,"Mechatronics, Circuits","CN, Dynamics",Take mock tests,Improving
1300,Sneha T 6,"Python, Geotech","Concrete Tech, DSA",Practice regularly,Declining
1301,Rahul M 13,Geotech,"Data Mining, Control",Use online resources,Declining
1302,Divya R 4,Fluid Mech,"Circuits, DL",Simulate real problems,Declining
1303,Ravi S 5,DSA,"Fluid Mech, EM Theory",Improve time management,Stable
1304,Ravi S 6,Power Systems,"Java, OS",Attend workshops,Needs attention
1305,Arjun M 4,"Security, AI","Fluid Mech, DL",Join peer study groups,Declining
1306,Rahul K 6,"Security, ML","Control, DL",Simulate real problems,Stable
1307,Karan R 3,Fluid Mech,"Stats, Math",Improve time management,Improving
1308,Karan T 5,"ML, DSA","Mechatronics, Math",Revise theoretical concepts,Declining
1309,Ravi T 3,"Java, VLSI","Embedded, Dynamics",Attend tutoring sessions,Needs attention
1310,Ravi R 7,Digital Logic,"Circuits, Geotech",Use online resources,Declining
1311,Ravi M 6,"Networking, CAD","EM Theory, Mechatronics",Simulate real problems,Stable
1312,Arjun R 6,EM Theory,"Structural, Mechatronics",Take mock tests,Improving
1313,Sneha R 11,"Java, Structural","Signal Systems, Security",Use online resources,Needs attention
1314,Arjun R 7,"Java, Stats","CN, Web Dev",Use online resources,Needs attention
1315,Divya K 6,"CN, Stats","Concrete Tech, Math",Improve time management,Stable
1316,Rahul K 7,DL,"Thermo, CN",Attend tutoring sessions,Improving
1317,Arjun K 8,Surveying,"RL, Math",Practice regularly,Improving
1318,Meera R 7,"Python, Structural","Python, Control",Attend workshops,Stable
1319,Karan K 10,Stats,"Java, Geotech",Attend tutoring sessions,Stable
1320,Ankit M 7,DBMS,"Dynamics, Circuits",Attend workshops,Stable
1321,Ankit K 5,Thermo,"Concrete Tech, AI",Practice regularly,Declining
1322,Arjun R 8,Web Dev,"CAD, CN",Use online resources,Needs attention
1323,Rahul S 8,"OS, Security","Networking, Signal Systems",Improve time management,Stable
1324,Aisha T 3,"Python, DL","Java, DSA",Focus on weak topics,Needs attention
1325,Karan M 8,Security,"Dynamics, Structural",Improve time management,Improving
1326,Rahul T 8,Fluid Mech,"Stats, Concrete Tech",Take mock tests,Declining
1327,Divya R 5,"DSA, CN","Thermo, Control",Revise theoretical concepts,Stable
1328,Meera M 6,AI,"CN, Mechatronics",Use online resources,Needs attention
1329,Priya M 5,"AI, Machines","Power Systems, Thermo",Join peer study groups,Improving
1330,Priya S 10,"Thermo, Data Mining","Geotech, Networking",Attend workshops,Needs attention
1331,Aisha R 6,"Dynamics, Power Systems","Digital Logic, DSA",Attend workshops,Stable
1332,Meera K 4,"Signal Systems, Mechatronics","DBMS, Surveying",Take mock tests,Stable
1333,Meera M 7,"Surveying, CN","Power Systems, ML",Revise theoretical concepts,Stable
1334,Karan T 6,"EM Theory, DBMS","Networking, Web Dev",Take mock tests,Improving
1335,Ankit M 8,"RL, Embedded","NLP, Stats",Focus on weak topics,Improving
1336,Divya T 7,"EM Theory, Geotech","Machines, Thermo",Attend tutoring sessions,Improving
1337,Rahul T 9,Control,"Web Dev, Python",Use online resources,Improving
1338,Ravi T 4,Web Dev,"Math, Python",Attend workshops,Declining
1339,Meera M 8,"Digital Logic, Fluid Mech","Geotech, Circuits",Take mock tests,Needs attention
1340,Arjun R 9,Digital Logic,"Structural, Machines",Practice regularly,Stable
1341,Aisha K 9,EM Theory,"Machines, Structural",Attend workshops,Stable
1342,Aisha K 10,"Java, Digital Logic","OS, Power Systems",Simulate real problems,Needs attention
1343,Ankit M 9,"Data Mining, OS","Mechatronics, Embedded",Improve time management,Improving
1344,Aisha T 4,Signal Systems,"RL, Web Dev",Practice regularly,Stable
1345,Divya K 7,Circuits,"ML, Circuits",Practice regularly,Needs attention
1346,Divya T 8,"CAD, Concrete Tech","Python, CN",Practice regularly,Stable
1347,Rahul R 7,"RL, DBMS","Geotech, Mechatronics",Revise theoretical concepts,Improving
