student_id,name,weak_subjects,strengths,recommended_actions,recent_progress
1172,Rahul S,Stats,"Security, OS",Use online resources,Needs attention
1173,Aisha R,RL,"Power Systems, DBMS",Attend workshops,Improving
1174,Arjun S,"DSA, Machines","Fluid Mech, Machines",Simulate real problems,Stable
1175,Ankit T,AI,"Concrete Tech, OS",Simulate real problems,Declining
1176,Karan S,"Machines, DL","NLP, Signal Systems",Improve time management,Improving
1177,Arjun R,"Embedded, Structural","Security, Embedded",Improve time management,Declining
1178,Meera K,"Networking, Data Mining","CAD, Thermo",Practice regularly,Needs attention
1179,Rahul M,"RL, Fluid Mech","Circuits, DBMS",Simulate real problems,Stable
1180,Rahul S,Signal Systems,"Java, Structural",Focus on weak topics,Declining
1181,Ravi K,Mechatronics,"Embedded, Surveying",Attend tutoring sessions,Improving
1182,Meera T,Fluid Mech,"Surveying, Mechatronics",Simulate real problems,Stable
1183,Priya R,AI,"ML, EM Theory",Improve time management,Needs attention
1184,Aisha K,"AI, Stats","Web Dev, Digital Logic",Simulate real problems,Needs attention
1185,Rahul M,CAD,"EM Theory, Math",Revise theoretical concepts,Improving
1186,Arjun R,"Surveying, Stats","Digital Logic, Mechatronics",Join peer study groups,Declining
1187,Divya M,"Java, Web Dev","Data Mining, DBMS",Improve time management,Improving
1188,Rahul K,Stats,"Networking, DBMS",Focus on weak topics,Improving
1189,Sneha S,"ML, VLSI","EM Theory, Signal Systems",Practice regularly,Stable
1190,Ravi R,DSA,"Fluid Mech, Java",Simulate real problems,Improving
1191,Ravi K,"CAD, Java","Java, CN",Simulate real problems,Improving
1192,Priya R,"NLP, Fluid Mech","Fluid Mech, CAD",Revise theoretical concepts,Stable
1193,Karan S,"Digital Logic, VLSI","Concrete Tech, Signal Systems",Take mock tests,Declining
1194,Priya S,"Signal Systems, Mechatronics","DSA, OS",Simulate real problems,Needs attention
1195,Karan S,Python,"RL, Signal Systems",Take mock tests,Declining
1196,Divya M,OS,"Geotech, Networking",Focus on weak topics,Improving
1197,Priya K,Networking,"Web Dev, EM Theory",Use online resources,Improving
1198,Ankit M,Machines,"VLSI, Power Systems",Improve time management,Declining
1199,Rahul M,Fluid Mech,"Concrete Tech, ML",Take mock tests,Needs attention
1200,Sneha M,"Thermo, ML","Structural, Dynamics",Attend workshops,Needs attention
1201,Sneha T,"Digital Logic, DSA","Data Mining, Dynamics",Simulate real problems,Declining
1202,Meera R,"Fluid Mech, Machines","Fluid Mech, Java",Attend tutoring sessions,Stable
1203,Meera M,Machines,"Signal Systems, Embedded",Use online resources,Needs attention
1204,Divya M,Structural,"Math, RL",Attend workshops,Declining
1205,Meera K,"Geotech, Power Systems","Structural, ML",Revise theoretical concepts,Declining
1206,Rahul M,Security,"RL, EM Theory",Use online resources,Needs attention
1207,Priya T,Math,"Machines, Structural",Revise theoretical concepts,Stable
1208,Rahul R,"VLSI, Structural","CAD, Circuits",Take mock tests,Declining
1209,Ravi R,Surveying,"Dynamics, Mechatronics",Attend tutoring sessions,Improving
1210,Rahul R,DSA,"Python, Circuits",Attend tutoring sessions,Stable
1211,Aisha R,"DBMS, Networking","Thermo, EM Theory",Focus on weak topics,Stable
1212,Aisha K,"RL, Concrete Tech","Embedded, Python",Join peer study groups,Declining
1213,Divya S,"Dynamics, DSA","Geotech, NLP",Join peer study groups,Needs attention
1214,Priya T,"VLSI, Control","DSA, Python",Take mock tests,Needs attention
1215,Ravi K,"Machines, AI","Machines, DBMS",Join peer study groups,Stable
1216,Ravi S,"RL, Stats","ML, Digital Logic",Focus on weak topics,Declining
1217,Priya S,"Surveying, Control","Machines, Data Mining",Use online resources,Needs attention
1218,Meera S,Thermo,"NLP, Math",Focus on weak topics,Improving
1219,Karan R,Structural,"Circuits, Machines",Simulate real problems,Needs attention
1220,Ankit T,"Control, ML","Embedded, Structural",Simulate real problems,Stable
1221,Karan K,"DBMS, ML","Surveying, Stats",Simulate real problems,Improving
1222,Ravi M,"OS, ML","EM Theory, Math",Simulate real problems,Stable
1223,Sneha T,"Networking, RL","Dynamics, Security",Focus on weak topics,Declining
1224,Priya T,"Circuits, Thermo","Machines, Digital Logic",Use online resources,Declining
1225,Rahul R,"Dynamics, Data Mining","Python, Signal Systems",Simulate real problems,Improving
1226,Priya R,Structural,"Surveying, Concrete Tech",Attend tutoring sessions,Declining
1227,Ravi M,AI,"Security, Dynamics",Take mock tests,Declining
1228,Rahul S,"DBMS, Dynamics","Structural, EM Theory",Attend workshops,Improving
1229,Sneha R,"Thermo, VLSI","AI, OS",Use online resources,Stable
1230,Ravi M,"VLSI, DL","Data Mining, DL",Attend workshops,Stable
1231,Meera S,"EM Theory, Web Dev","Data Mining, CN",Simulate real problems,Stable
1232,Sneha M,RL,"Fluid Mech, Math",Attend tutoring sessions,Declining
1233,Meera K,"Security, Fluid Mech","EM Theory, DSA",Attend workshops,Needs attention
1234,Meera T,Thermo,"Security, VLSI",Improve time management,Stable
1235,Divya S,"Concrete Tech, NLP","CAD, VLSI",Practice regularly,Declining
1236,Aisha K,"AI, Surveying","VLSI, Java",Attend tutoring sessions,Improving
1237,Sneha S,"OS, Surveying","Data Mining, RL",Practice regularly,Needs attention
1238,Divya S,CAD,"NLP, Security",Take mock tests,Improving
1239,Ravi K,"Dynamics, Power Systems","Thermo, Fluid Mech",Improve time management,Stable
1240,Arjun T,Thermo,"Thermo, NLP",Attend workshops,Declining
1241,Ankit M,Data Mining,"DBMS, Math",Practice regularly,Stable
1242,Aisha K,"AI, Embedded","Structural, Surveying",Attend workshops,Improving
1243,Priya K,"Python, Dynamics","CN, VLSI",Revise theoretical concepts,Stable
1244,Karan T,Fluid Mech,"Security, AI",Attend tutoring sessions,Declining
1245,Priya S,Data Mining,"Digital Logic, EM Theory",Focus on weak topics,Needs attention
1246,Aisha K,Embedded,"Surveying, VLSI",Revise theoretical concepts,Declining
1247,Divya K,CAD,"AI, Circuits",Use online resources,Declining
1248,Priya S,Stats,"Security, Thermo",Use online resources,Declining
1249,Ankit R,"AI, EM Theory","Concrete Tech, Thermo",Join peer study groups,Stable
1250,Divya K,Dynamics,"CN, Fluid Mech",Attend tutoring sessions,Stable
1251,Ankit S,"Math, Data Mining","OS, Mechatronics",Focus on weak topics,Stable
1252,Rahul M,"DSA, Structural","Web Dev, VLSI",Simulate real problems,Improving
1253,Rahul R,OS,"Security, Thermo",Revise theoretical concepts,Stable
1254,Arjun S,"VLSI, DL","Concrete Tech, Surveying",Improve time management,Stable
1255,Ravi T,"Concrete Tech, Circuits","Thermo, Networking",Join peer study groups,Declining
1256,Sneha S,Data Mining,"Machines, DL",Practice regularly,Needs attention
1257,Priya R,"Digital Logic, DBMS","Geotech, DL",Practice regularly,Stable
1258,Priya K,"Web Dev, Stats","RL, Mechatronics",Revise theoretical concepts,Stable
1259,Aisha M,"Surveying, Mechatronics","Structural, Control",Join peer study groups,Stable
1260,Rahul S,"Surveying, Structural","Signal Systems, ML",Join peer study groups,Needs attention
1261,Karan M,"Dynamics, NLP","Circuits, Data Mining",Use online resources,Improving
1262,Ravi T,"Java, Dynamics","DL, Data Mining",Improve time management,Needs attention
1263,Ravi K,"CAD, NLP","Digital Logic, Signal Systems",Focus on weak topics,Declining
1264,Arjun S,Web Dev,"EM Theory, Power Systems",Simulate real problems,Stable
1265,Sneha M,Thermo,"Thermo, Dynamics",Take mock tests,Stable
1266,Rahul M,Geotech,"Control, DSA",Revise theoretical concepts,Needs attention
1267,Rahul T,Surveying,"Dynamics, DL",Practice regularly,Stable
1268,Priya R,RL,"Surveying, Java",Revise theoretical concepts,Stable
1269,Karan S,"Security, Data Mining","Structural, Thermo",Focus on weak topics,Needs attention
1270,Sneha R,Security,"Python, Security",Join peer study groups,Needs attention
1271,Ankit S,"AI, ML","Surveying, Security",Focus on weak topics,Improving
1272,Ravi R,"CN, Mechatronics","Data Mining, NLP",Take mock tests,Stable
1273,Ankit R,Mechatronics,"Data Mining, ML",Use online resources,Declining
1274,Aisha R,Security,"AI, Fluid Mech",Take mock tests,Stable
1275,Aisha M,"DSA, Control","CN, ML",Practice regularly,Needs attention
1276,Meera S,Digital Logic,"Concrete Tech, Signal Systems",Use online resources,Declining
1277,Divya T,Concrete Tech,"Web Dev, Thermo",Join peer study groups,Declining
1278,Meera M,ML,"Security, Concrete Tech",Use online resources,Improving
1279,Divya S,"Fluid Mech, Stats","Thermo, Python",Simulate real problems,Stable
1280,Rahul M,Embedded,"DSA, Thermo",Attend workshops,Declining
1281,Sneha R,Concrete Tech,"Mechatronics, Math",Simulate real problems,Improving
1282,Rahul M,Geotech,"Digital Logic, NLP",Join peer study groups,Declining
1283,Ankit M,"AI, Fluid Mech","VLSI, Surveying",Improve time management,Needs attention
1284,Aisha M,Machines,"Surveying, Fluid Mech",Take mock tests,Improving
1285,Arjun T,"DL, Machines","OS, Data Mining",Use online resources,Improving
1286,Arjun T,Fluid Mech,"Geotech, DBMS",Join peer study groups,Stable
1287,Ravi S,"Concrete Tech, OS","RL, DSA",Join peer study groups,Declining
1288,Sneha R,NLP,"ML, Power Systems",Revise theoretical concepts,Improving
1289,Rahul R,RL,"EM Theory, CAD",Use online resources,Needs attention
1290,Aisha S,"DBMS, Circuits","Thermo, Surveying",Practice regularly,Needs attention
1291,Ankit M,Java,"Power Systems, Python",Take mock tests,Stable
1292,Divya R,"EM Theory, Java","Stats, Circuits",Join peer study groups,Stable
1293,Priya T,"Mechatronics, Java","Circuits, Networking",Focus on weak topics,Needs attention
1294,Divya R,Circuits,"Structural, Python",Attend workshops,Stable
1295,Divya T,"Data Mining, DL","DSA, Stats",Take mock tests,Needs attention
1296,Karan R,EM Theory,"ML, Web Dev",Attend tutoring sessions,Improving
1297,Meera M,"Data Mining, Surveying","Control, DL",Revise theoretical concepts,Improving
1298,Divya M,Control,"Python, VLSI",Improve time management,Stable
1299,Ravi M,"Mechatronics, Circuits","CN, Dynamics",Take mock tests,Improving
1300,Sneha T,"Python, Geotech","Concrete Tech, DSA",Practice regularly,Declining
1301,Rahul M,Geotech,"Data Mining, Control",Use online resources,Declining
1302,Divya R,Fluid Mech,"Circuits, DL",Simulate real problems,Declining
1303,Ravi S,DSA,"Fluid Mech, EM Theory",Improve time management,Stable
1304,Ravi S,Power Systems,"Java, OS",Attend workshops,Needs attention
1305,Arjun M,"Security, AI","Fluid Mech, DL",Join peer study groups,Declining
1306,Rahul K,"Security, ML","Control, DL",Simulate real problems,Stable
1307,Karan R,Fluid Mech,"Stats, Math",Improve time management,Improving
1308,Karan T,"ML, DSA","Mechatronics, Math",Revise theoretical concepts,Declining
1309,Ravi T,"Java, VLSI","Embedded, Dynamics",Attend tutoring sessions,Needs attention
1310,Ravi R,Digital Logic,"Circuits, Geotech",Use online resources,Declining
1311,Ravi M,"Networking, CAD","EM Theory, Mechatronics",Simulate real problems,Stable
1312,Arjun R,EM Theory,"Structural, Mechatronics",Take mock tests,Improving
1313,Sneha R,"Java, Structural","Signal Systems, Security",Use online resources,Needs attention
1314,Arjun R,"Java, Stats","CN, Web Dev",Use online resources,Needs attention
1315,Divya K,"CN, Stats","Concrete Tech, Math",Improve time management,Stable
1316,Rahul K,DL,"Thermo, CN",Attend tutoring sessions,Improving
1317,Arjun K,Surveying,"RL, Math",Practice regularly,Improving
1318,Meera R,"Python, Structural","Python, Control",Attend workshops,Stable
1319,Karan K,Stats,"Java, Geotech",Attend tutoring sessions,Stable
1320,Ankit M,DBMS,"Dynamics, Circuits",Attend workshops,Stable
1321,Ankit K,Thermo,"Concrete Tech, AI",Practice regularly,Declining
1322,Arjun R,Web Dev,"CAD, CN",Use online resources,Needs attention
1323,Rahul S,"OS, Security","Networking, Signal Systems",Improve time management,Stable
1324,Aisha T,"Python, DL","Java, DSA",Focus on weak topics,Needs attention
1325,Karan M,Security,"Dynamics, Structural",Improve time management,Improving
1326,Rahul T,Fluid Mech,"Stats, Concrete Tech",Take mock tests,Declining
1327,Divya R,"DSA, CN","Thermo, Control",Revise theoretical concepts,Stable
1328,Meera M,AI,"CN, Mechatronics",Use online resources,Needs attention
1329,Priya M,"AI, Machines","Power Systems, Thermo",Join peer study groups,Improving
1330,Priya S,"Thermo, Data Mining","Geotech, Networking",Attend workshops,Needs attention
1331,Aisha R,"Dynamics, Power Systems","Digital Logic, DSA",Attend workshops,Stable
1332,Meera K,"Signal Systems, Mechatronics","DBMS, Surveying",Take mock tests,Stable
1333,Meera M,"Surveying, CN","Power Systems, ML",Revise theoretical concepts,Stable
1334,Karan T,"EM Theory, DBMS","Networking, Web Dev",Take mock tests,Improving
1335,Ankit M,"RL, Embedded","NLP, Stats",Focus on weak topics,Improving
1336,Divya T,"EM Theory, Geotech","Machines, Thermo",Attend tutoring sessions,Improving
1337,Rahul T,Control,"Web Dev, Python",Use online resources,Improving
1338,Ravi T,Web Dev,"Math, Python",Attend workshops,Declining
1339,Meera M,"Digital Logic, Fluid Mech","Geotech, Circuits",Take mock tests,Needs attention
1340,Arjun R,Digital Logic,"Structural, Machines",Practice regularly,Stable
1341,Aisha K,EM Theory,"Machines, Structural",Attend workshops,Stable
1342,Aisha K,"Java, Digital Logic","OS, Power Systems",Simulate real problems,Needs attention
1343,Ankit M,"Data Mining, OS","Mechatronics, Embedded",Improve time management,Improving
1344,Aisha T,Signal Systems,"RL, Web Dev",Practice regularly,Stable
1345,Divya K,Circuits,"ML, Circuits",Practice regularly,Needs attention
1346,Divya T,"CAD, Concrete Tech","Python, CN",Practice regularly,Stable
1347,Rahul R,"RL, DBMS","Geotech, Mechatronics",Revise theoretical concepts,Improving
1348,Arjun M,Web Dev,"Signal Systems, Data Mining",Practice regularly,Improving
1349,Arjun S,Java,"DBMS, EM Theory",Take mock tests,Needs attention
1350,Priya T,Stats,"VLSI, Embedded",Improve time management,Declining
1351,Aisha M,"Thermo, AI","Networking, RL",Improve time management,Stable
1352,Sneha T,Surveying,"Web Dev, Networking",Attend workshops,Needs attention
1353,Ravi M,Stats,"CAD, Python",Practice regularly,Declining
1354,Ravi M,Embedded,"Python, DSA",Attend tutoring sessions,Stable
1355,Meera K,Java,"Dynamics, Machines",Attend tutoring sessions,Stable
1356,Divya S,Thermo,"Machines, Power Systems",Attend tutoring sessions,Improving
1357,Priya T,"Fluid Mech, Power Systems","Power Systems, Data Mining",Revise theoretical concepts,Needs attention
1358,Karan T,"Math, Surveying","Web Dev, Concrete Tech",Focus on weak topics,Stable
1359,Priya S,Digital Logic,"CAD, Control",Attend tutoring sessions,Needs attention
1360,Meera R,Security,"Structural, Java",Focus on weak topics,Stable
1361,Priya T,AI,"OS, Stats",Join peer study groups,Declining
1362,Sneha S,Mechatronics,"Power Systems, NLP",Simulate real problems,Needs attention
1363,Karan S,"CN, Thermo","RL, Mechatronics",Revise theoretical concepts,Stable
