student_id,name,career_goal,internships_done,job_ready,suggested_paths
1101,Sneha T,Web Developer,"2 (NLP, Vision)",No,"LinkedIn optimization, Core project, mock interviews"
1102,Meera S,Software Developer,"2 (NLP, Vision)",No,"LinkedIn optimization, Build capstone projects"
1103,Rahul T,Product Designer,1 (AR Intern),Yes,"Certifications in relevant domain, Apply to research roles"
1104,Sneha R,AR/VR Developer,1 (Web Dev Intern),Yes,"Contribute to open source, Resume upgrade, hackathons"
1105,Divya T,DevOps Specialist,"2 (NLP, Vision)",Yes,"Apply to research roles, Attend tech webinars"
1106,Priya S,Embedded Engineer,1 (Security Intern),Yes,"Apply to research roles, Attend tech webinars"
1107,Priya M,Web Developer,1 (IoT Internship),Yes,"Core project, mock interviews, Build capstone projects"
1108,Aisha T,Product Designer,"2 (DevOps, Cloud)",Yes,"Certifications in relevant domain, Resume upgrade, hackathons"
1109,Ankit K,AI Researcher,"2 (NLP, Vision)",Yes,"Certifications in relevant domain, Resume upgrade, hackathons"
1110,Karan S,ML Engineer,1 (IoT Internship),Yes,"Portfolio enhancement, Core project, mock interviews"
1111,Divya K,Cloud Engineer,1 (AR Intern),Yes,"Practice DSA, GitHub proj, LinkedIn optimization"
1112,Arjun R,Product Designer,1 (Security Intern),Yes,"Practice DSA, GitHub proj, Resume upgrade, hackathons"
1113,Arjun K,AI Researcher,1 (CAD Internship),Yes,"Core project, mock interviews, Practice DSA, GitHub proj"
1114,Ankit R,Product Designer,None,No,"Apply to research roles, Resume upgrade, hackathons"
1115,Aisha R,Cybersecurity Analyst,"2 (DevOps, Cloud)",Yes,"Attend tech webinars, Certifications in relevant domain"
1116,Karan K,AR/VR Developer,"2 (DevOps, Cloud)",No,"Apply to research roles, LinkedIn optimization"
1117,Ankit S,AI Researcher,1 (ML Intern),Yes,"Portfolio enhancement, LinkedIn optimization"
1118,Priya R,Product Designer,1 (Security Intern),Yes,"LinkedIn optimization, Practice DSA, GitHub proj"
1119,Arjun M,Web Developer,1 (Security Intern),Yes,"Certifications in relevant domain, Practice DSA, GitHub proj"
1120,Divya T,Embedded Engineer,1 (ML Intern),Yes,"Portfolio enhancement, Certifications in relevant domain"
1121,Ankit S,ML Engineer,"2 (DevOps, Cloud)",Yes,"Attend tech webinars, Certifications in relevant domain"
1122,Meera M,DevOps Specialist,1 (ML Intern),Yes,"Apply to research roles, LinkedIn optimization"
1123,Priya T,Data Scientist,"2 (DevOps, Cloud)",Yes,"Apply to research roles, Resume upgrade, hackathons"
1124,Sneha R,Software Developer,1 (AR Intern),Yes,"Certifications in relevant domain, Portfolio enhancement"
1125,Arjun T,AR/VR Developer,None,No,"Certifications in relevant domain, LinkedIn optimization"
1126,Meera R,Cloud Engineer,1 (Security Intern),Yes,"LinkedIn optimization, Practice DSA, GitHub proj"
1127,Karan K,Cybersecurity Analyst,"2 (NLP, Vision)",Yes,"Practice DSA, GitHub proj, LinkedIn optimization"
1128,Karan K,Cloud Engineer,"2 (DevOps, Cloud)",Yes,"Build capstone projects, LinkedIn optimization"
1129,Meera S,AI Researcher,1 (IoT Internship),No,"Apply to research roles, Attend tech webinars"
1130,Arjun T,AI Researcher,1 (AR Intern),Yes,"Contribute to open source, Apply to research roles"
1131,Ankit R,Embedded Engineer,"2 (DevOps, Cloud)",Yes,"Portfolio enhancement, Core project, mock interviews"
1132,Divya M,Product Designer,1 (Web Dev Intern),Yes,"Portfolio enhancement, Apply to research roles"
1133,Priya R,Web Developer,1 (ML Intern),Yes,"Practice DSA, GitHub proj, Portfolio enhancement"
1134,Priya T,Web Developer,1 (AR Intern),Yes,"Certifications in relevant domain, Apply to research roles"
1135,Divya M,Web Developer,1 (AR Intern),Yes,"Portfolio enhancement, Resume upgrade, hackathons"
1136,Priya M,ML Engineer,1 (IoT Internship),Yes,"Certifications in relevant domain, Resume upgrade, hackathons"
1137,Meera T,Software Developer,1 (IoT Internship),No,"Core project, mock interviews, Resume upgrade, hackathons"
1138,Sneha K,AR/VR Developer,None,No,"Resume upgrade, hackathons, Build capstone projects"
1139,Karan M,Data Scientist,1 (CAD Internship),Yes,"Core project, mock interviews, Practice DSA, GitHub proj"
1140,Arjun S,Web Developer,1 (IoT Internship),Yes,"Portfolio enhancement, Certifications in relevant domain"
1141,Karan M,AI Researcher,1 (Web Dev Intern),Yes,"Attend tech webinars, Practice DSA, GitHub proj"
1142,Rahul K,ML Engineer,"2 (Research, Dev)",Yes,"Attend tech webinars, Build capstone projects"
1143,Priya M,Product Designer,1 (Web Dev Intern),Yes,"Portfolio enhancement, Practice DSA, GitHub proj"
1144,Rahul T,Data Scientist,1 (Security Intern),Yes,"Contribute to open source, Practice DSA, GitHub proj"
1145,Priya K,Product Designer,None,No,"Certifications in relevant domain, Build capstone projects"
1146,Sneha M,AI Researcher,"2 (DevOps, Cloud)",No,"Contribute to open source, Portfolio enhancement"
1147,Ankit T,Embedded Engineer,1 (IoT Internship),Yes,"LinkedIn optimization, Practice DSA, GitHub proj"
1148,Rahul R,Data Scientist,1 (IoT Internship),No,"Resume upgrade, hackathons, Attend tech webinars"
1149,Arjun S,Cloud Engineer,"2 (DevOps, Cloud)",Yes,"Core project, mock interviews, LinkedIn optimization"
1150,Meera S,DevOps Specialist,1 (IoT Internship),Yes,"Build capstone projects, Core project, mock interviews"
1151,Aisha K,Systems Engineer,"2 (Research, Dev)",Yes,"Resume upgrade, hackathons, Core project, mock interviews"
1152,Sneha T,DevOps Specialist,1 (AR Intern),Yes,"Resume upgrade, hackathons, Contribute to open source"
1153,Ankit R,Cloud Engineer,1 (IoT Internship),Yes,"Certifications in relevant domain, Attend tech webinars"
1154,Divya M,AI Researcher,1 (CAD Internship),No,"Resume upgrade, hackathons, Practice DSA, GitHub proj"
1155,Sneha S,Cloud Engineer,1 (CAD Internship),Yes,"LinkedIn optimization, Practice DSA, GitHub proj"
1156,Ankit K,Software Developer,"2 (Research, Dev)",Yes,"Portfolio enhancement, Build capstone projects"
1157,Arjun K,Data Scientist,1 (AR Intern),Yes,"Contribute to open source, Core project, mock interviews"
1158,Arjun S,Data Scientist,1 (Web Dev Intern),Yes,"Portfolio enhancement, Build capstone projects"
1159,Priya R,Web Developer,"2 (Research, Dev)",Yes,"Attend tech webinars, Apply to research roles"
1160,Karan K,Software Developer,1 (Security Intern),Yes,"Contribute to open source, Resume upgrade, hackathons"
1161,Ankit M,AI Researcher,1 (CAD Internship),No,"Practice DSA, GitHub proj, Contribute to open source"
1162,Aisha T,ML Engineer,1 (IoT Internship),Yes,"Certifications in relevant domain, Practice DSA, GitHub proj"
1163,Arjun T,Product Designer,1 (IoT Internship),Yes,"Certifications in relevant domain, Contribute to open source"
1164,Divya M,Data Scientist,1 (AR Intern),Yes,"Certifications in relevant domain, Resume upgrade, hackathons"
1165,Sneha R,ML Engineer,1 (ML Intern),Yes,"LinkedIn optimization, Core project, mock interviews"
1166,Karan T,Cloud Engineer,"2 (NLP, Vision)",Yes,"Portfolio enhancement, Contribute to open source"
1167,Sneha R,Cloud Engineer,None,No,"Contribute to open source, Portfolio enhancement"
1168,Meera R,Product Designer,"2 (DevOps, Cloud)",No,"Core project, mock interviews, Certifications in relevant domain"
1169,Arjun K,Software Developer,1 (Web Dev Intern),Yes,"Resume upgrade, hackathons, Attend tech webinars"
1170,Divya T,Cloud Engineer,1 (CAD Internship),Yes,"Build capstone projects, Core project, mock interviews"
1171,Arjun K,Cybersecurity Analyst,1 (CAD Internship),No,"Build capstone projects, Core project, mock interviews"
1172,Rahul S,DevOps Specialist,"2 (DevOps, Cloud)",No,"Certifications in relevant domain, Resume upgrade, hackathons"
1173,Aisha R,Product Designer,"2 (DevOps, Cloud)",Yes,"Certifications in relevant domain, Core project, mock interviews"
1174,Arjun S,Data Scientist,1 (CAD Internship),No,"LinkedIn optimization, Apply to research roles"
1175,Ankit T,Systems Engineer,"2 (NLP, Vision)",No,"LinkedIn optimization, Attend tech webinars"
1176,Karan S,Cloud Engineer,1 (AR Intern),Yes,"Attend tech webinars, Apply to research roles"
1177,Arjun R,Cybersecurity Analyst,1 (CAD Internship),Yes,"Apply to research roles, LinkedIn optimization"
1178,Meera K,Software Developer,1 (AR Intern),Yes,"Portfolio enhancement, Attend tech webinars"
1179,Rahul M,DevOps Specialist,"2 (DevOps, Cloud)",No,"Build capstone projects, Contribute to open source"
1180,Rahul S,Web Developer,1 (CAD Internship),Yes,"Portfolio enhancement, Certifications in relevant domain"
1181,Ravi K,ML Engineer,1 (Web Dev Intern),Yes,"Build capstone projects, LinkedIn optimization"
1182,Meera T,Systems Engineer,1 (CAD Internship),Yes,"Practice DSA, GitHub proj, Core project, mock interviews"
1183,Priya R,Software Developer,"2 (DevOps, Cloud)",Yes,"Build capstone projects, Apply to research roles"
1184,Aisha K,Systems Engineer,None,No,"Certifications in relevant domain, Core project, mock interviews"
1185,Rahul M,Data Scientist,"2 (NLP, Vision)",Yes,"Contribute to open source, Apply to research roles"
1186,Arjun R,ML Engineer,None,No,"Build capstone projects, Resume upgrade, hackathons"
1187,Divya M,Systems Engineer,1 (CAD Internship),No,"Contribute to open source, Portfolio enhancement"
1188,Rahul K,Cloud Engineer,"2 (DevOps, Cloud)",Yes,"Practice DSA, GitHub proj, LinkedIn optimization"
1189,Sneha S,Web Developer,"2 (NLP, Vision)",Yes,"Attend tech webinars, Portfolio enhancement"
1190,Ravi R,AI Researcher,"2 (Research, Dev)",Yes,"Core project, mock interviews, Portfolio enhancement"
1191,Ravi K,Web Developer,"2 (NLP, Vision)",No,"Build capstone projects, Apply to research roles"
1192,Priya R,Web Developer,"2 (NLP, Vision)",Yes,"Core project, mock interviews, Resume upgrade, hackathons"
1193,Karan S,Embedded Engineer,1 (IoT Internship),Yes,"Resume upgrade, hackathons, Build capstone projects"
1194,Priya S,Web Developer,None,No,"Core project, mock interviews, Practice DSA, GitHub proj"
1195,Karan S,AI Researcher,"2 (DevOps, Cloud)",No,"Contribute to open source, LinkedIn optimization"
1196,Divya M,AR/VR Developer,1 (Security Intern),Yes,"Practice DSA, GitHub proj, Resume upgrade, hackathons"
1197,Priya K,Cloud Engineer,"2 (Research, Dev)",Yes,"Attend tech webinars, Core project, mock interviews"
1198,Ankit M,Cybersecurity Analyst,1 (CAD Internship),Yes,"Core project, mock interviews, Portfolio enhancement"
1199,Rahul M,Web Developer,"2 (NLP, Vision)",Yes,"Apply to research roles, Certifications in relevant domain"
1200,Sneha M,Cloud Engineer,1 (AR Intern),Yes,"Portfolio enhancement, Core project, mock interviews"
1201,Sneha T,Cybersecurity Analyst,1 (AR Intern),Yes,"Practice DSA, GitHub proj, Portfolio enhancement"
1202,Meera R,AR/VR Developer,1 (Web Dev Intern),Yes,"Attend tech webinars, Certifications in relevant domain"
1203,Meera M,AR/VR Developer,1 (Security Intern),No,"Certifications in relevant domain, Practice DSA, GitHub proj"
1204,Divya M,Embedded Engineer,"2 (NLP, Vision)",Yes,"Contribute to open source, Practice DSA, GitHub proj"
1205,Meera K,Product Designer,1 (CAD Internship),No,"Resume upgrade, hackathons, Build capstone projects"
1206,Rahul M,ML Engineer,1 (Web Dev Intern),Yes,"Apply to research roles, Build capstone projects"
1207,Priya T,Embedded Engineer,1 (Web Dev Intern),Yes,"Core project, mock interviews, Portfolio enhancement"
1208,Rahul R,AR/VR Developer,"2 (NLP, Vision)",No,"Portfolio enhancement, Apply to research roles"
1209,Ravi R,Cloud Engineer,1 (IoT Internship),Yes,"Practice DSA, GitHub proj, Build capstone projects"
1210,Rahul R,Embedded Engineer,"2 (Research, Dev)",No,"Resume upgrade, hackathons, Contribute to open source"
1211,Aisha R,Embedded Engineer,1 (Security Intern),Yes,"Apply to research roles, Portfolio enhancement"
1212,Aisha K,Software Developer,1 (Security Intern),Yes,"Build capstone projects, Resume upgrade, hackathons"
1213,Divya S,DevOps Specialist,1 (Web Dev Intern),Yes,"Build capstone projects, Practice DSA, GitHub proj"
1214,Priya T,Product Designer,"2 (DevOps, Cloud)",Yes,"Attend tech webinars, Portfolio enhancement"
1215,Ravi K,Data Scientist,1 (IoT Internship),Yes,"Portfolio enhancement, Build capstone projects"
1216,Ravi S,Embedded Engineer,"2 (Research, Dev)",No,"Attend tech webinars, LinkedIn optimization"
1217,Priya S,Embedded Engineer,1 (Web Dev Intern),Yes,"Contribute to open source, LinkedIn optimization"
1218,Meera S,Embedded Engineer,1 (Security Intern),Yes,"Resume upgrade, hackathons, Practice DSA, GitHub proj"
1219,Karan R,AI Researcher,1 (CAD Internship),Yes,"Certifications in relevant domain, Core project, mock interviews"
1220,Ankit T,Embedded Engineer,1 (CAD Internship),Yes,"Practice DSA, GitHub proj, LinkedIn optimization"
1221,Karan K,Web Developer,1 (ML Intern),No,"Contribute to open source, Practice DSA, GitHub proj"
1222,Ravi M,DevOps Specialist,1 (IoT Internship),Yes,"Practice DSA, GitHub proj, Attend tech webinars"
1223,Sneha T,Cloud Engineer,1 (ML Intern),No,"Contribute to open source, Practice DSA, GitHub proj"
1224,Priya T,Data Scientist,1 (Web Dev Intern),Yes,"LinkedIn optimization, Practice DSA, GitHub proj"
1225,Rahul R,Cloud Engineer,"2 (Research, Dev)",No,"Apply to research roles, Contribute to open source"
1226,Priya R,Cybersecurity Analyst,None,No,"Portfolio enhancement, Build capstone projects"
1227,Ravi M,AI Researcher,1 (Security Intern),No,"Resume upgrade, hackathons, LinkedIn optimization"
1228,Rahul S,Cybersecurity Analyst,"2 (NLP, Vision)",Yes,"Practice DSA, GitHub proj, LinkedIn optimization"
1229,Sneha R,DevOps Specialist,1 (CAD Internship),No,"Core project, mock interviews, Contribute to open source"
1230,Ravi M,DevOps Specialist,1 (CAD Internship),Yes,"LinkedIn optimization, Practice DSA, GitHub proj"
1231,Meera S,Embedded Engineer,1 (CAD Internship),Yes,"Attend tech webinars, Build capstone projects"
1232,Sneha M,DevOps Specialist,1 (Security Intern),Yes,"Contribute to open source, Build capstone projects"
1233,Meera K,DevOps Specialist,"2 (Research, Dev)",No,"Contribute to open source, Core project, mock interviews"
1234,Meera T,Cybersecurity Analyst,1 (Security Intern),Yes,"Certifications in relevant domain, LinkedIn optimization"
1235,Divya S,AR/VR Developer,1 (CAD Internship),No,"Practice DSA, GitHub proj, Portfolio enhancement"
1236,Aisha K,DevOps Specialist,1 (Security Intern),No,"Portfolio enhancement, Attend tech webinars"
1237,Sneha S,Web Developer,"2 (NLP, Vision)",No,"Resume upgrade, hackathons, Build capstone projects"
1238,Divya S,ML Engineer,"2 (DevOps, Cloud)",No,"Resume upgrade, hackathons, Attend tech webinars"
1239,Ravi K,Web Developer,1 (AR Intern),Yes,"Apply to research roles, Contribute to open source"
1240,Arjun T,AI Researcher,1 (Security Intern),Yes,"Apply to research roles, LinkedIn optimization"
1241,Ankit M,Embedded Engineer,1 (AR Intern),Yes,"Core project, mock interviews, Practice DSA, GitHub proj"
1242,Aisha K,Embedded Engineer,1 (Web Dev Intern),No,"Contribute to open source, Apply to research roles"
1243,Priya K,Data Scientist,1 (ML Intern),No,"Resume upgrade, hackathons, Portfolio enhancement"
1244,Karan T,Cloud Engineer,"2 (DevOps, Cloud)",No,"Contribute to open source, Portfolio enhancement"
1245,Priya S,Data Scientist,"2 (Research, Dev)",Yes,"Apply to research roles, Certifications in relevant domain"
1246,Aisha K,ML Engineer,1 (Web Dev Intern),No,"Attend tech webinars, Certifications in relevant domain"
1247,Divya K,Cloud Engineer,1 (Web Dev Intern),Yes,"Contribute to open source, Apply to research roles"
1248,Priya S,Embedded Engineer,1 (ML Intern),Yes,"Contribute to open source, Build capstone projects"
1249,Ankit R,Data Scientist,1 (Web Dev Intern),No,"Core project, mock interviews, Attend tech webinars"
1250,Divya K,Data Scientist,1 (AR Intern),Yes,"Apply to research roles, Portfolio enhancement"
1251,Ankit S,Cybersecurity Analyst,"2 (Research, Dev)",Yes,"Build capstone projects, Practice DSA, GitHub proj"
1252,Rahul M,Software Developer,"2 (Research, Dev)",Yes,"Portfolio enhancement, Practice DSA, GitHub proj"
1253,Rahul R,Web Developer,"2 (NLP, Vision)",Yes,"Build capstone projects, LinkedIn optimization"
1254,Arjun S,ML Engineer,"2 (DevOps, Cloud)",Yes,"Practice DSA, GitHub proj, Certifications in relevant domain"
1255,Ravi T,Systems Engineer,1 (ML Intern),Yes,"Practice DSA, GitHub proj, Portfolio enhancement"
1256,Sneha S,Embedded Engineer,None,No,"LinkedIn optimization, Resume upgrade, hackathons"
1257,Priya R,Software Developer,1 (Web Dev Intern),No,"LinkedIn optimization, Core project, mock interviews"
1258,Priya K,Cloud Engineer,"2 (DevOps, Cloud)",Yes,"Attend tech webinars, Certifications in relevant domain"
1259,Aisha M,Cybersecurity Analyst,1 (ML Intern),Yes,"Portfolio enhancement, Attend tech webinars"
1260,Rahul S,AR/VR Developer,1 (CAD Internship),Yes,"LinkedIn optimization, Build capstone projects"
1261,Karan M,Web Developer,"2 (DevOps, Cloud)",Yes,"Practice DSA, GitHub proj, Apply to research roles"
1262,Ravi T,Cloud Engineer,1 (AR Intern),Yes,"Certifications in relevant domain, Practice DSA, GitHub proj"
1263,Ravi K,Product Designer,"2 (DevOps, Cloud)",No,"Core project, mock interviews, Attend tech webinars"
